busNumA,startTimeA,busNumB,startTimeB
1,805,1,810
2,825,2,830
3,845,3,850
4,930,4,940
5,1005,5,1010
6,1025,6,1030
7,1045,7,1050
8,1120,8,1130
9,1240,9,1250
10,1305,10,1310
11,1320,11,1330
12,1345,12,1350
13,1430,13,1440
14,1505,14,1510
15,1525,15,1530
16,1545,16,1550
17,1630,17,1640
18,1700,18,1710
19,1720,19,1730
20,1740,20,1750
21,1800,21,1810
22,1820,22,1830
23,1840,23,1850
,,,
24,806,24,811
25,826,25,831
26,846,26,851
27,931,27,941
28,1006,28,1011
29,1026,29,1031
30,1046,30,1051
31,1121,31,1131
32,1241,32,1251
33,1306,33,1311
34,1326,34,1331
35,1346,35,1351
36,1431,36,1441
37,1506,37,1511
38,1526,38,1531
39,1546,39,1551
40,1631,40,1641
41,1701,41,1711
42,1721,42,1731
43,1741,43,1751
44,1801,44,1811
45,1821,45,1831
46,1841,46,1851
,,,
47,807,47,812
48,827,48,832
49,847,49,852
50,932,50,942
51,1007,51,1012
52,1027,52,1032
53,1047,53,1052
54,1122,54,1132
55,1242,55,1252
56,1307,56,1312
57,1327,57,1332
58,1347,58,1352
59,1432,59,1442
60,1507,60,1512
61,1527,61,1532
62,1547,62,1552
63,1632,63,1642
64,1702,64,1712
65,1722,65,1732
66,1742,66,1752
67,1802,67,1812
68,1822,68,1832
69,1842,69,1852
,,,
70,808,70,821
71,828,71,841
72,848,72,861
73,933,73,951
74,1008,74,1021
75,1028,75,1041
76,1048,76,1061
77,1123,77,1141
78,1243,78,1261
79,1308,79,1321
80,1328,80,1341
81,1348,81,1361
82,1433,82,1451
83,1508,83,1521
84,1528,84,1541
85,1548,85,1561
86,1633,86,1651
87,1703,87,1721
88,1723,88,1741
89,1743,89,1761
90,1803,90,1821
91,1823,91,1841
92,1843,92,1861
,,,
93,809,93,820
94,829,94,840
95,849,95,860
96,934,96,950
97,1009,97,1020
98,1029,98,1040
99,1049,99,1060
100,1124,100,1140
101,1244,101,1260
102,1309,102,1320
103,1329,103,1340
104,1349,104,1360
105,1434,105,1450
106,1509,106,1520
107,1529,107,1540
108,1549,108,1560
109,1634,109,1650
110,1704,110,1720
111,1724,111,1740
112,1744,112,1760
113,1804,113,1820
114,1824,114,1840
115,1844,115,1860
,,,
116,810,116,819
117,830,117,839
118,850,118,859
119,935,119,949
120,1010,120,1019
121,1030,121,1039
122,1050,122,1059
123,1125,123,1139
124,1245,124,1259
125,1310,125,1319
126,1330,126,1339
127,1350,127,1359
128,1435,128,1449
129,1510,129,1519
130,1530,130,1539
131,1550,131,1559
132,1635,132,1649
133,1705,133,1719
134,1725,134,1739
135,1750,135,1759
136,1805,136,1819
137,1825,137,1839
138,1845,138,1859
,,,
139,811,139,818
140,831,140,838
141,851,141,858
142,936,142,948
143,1011,143,1018
144,1031,144,1038
145,1051,145,1058
146,1126,146,1138
147,1246,147,1258
148,1311,148,1318
149,1331,149,1338
150,1351,150,1358
151,1436,151,1448
152,1511,152,1518
153,1531,153,1538
154,1551,154,1558
155,1636,155,1648
156,1706,156,1718
157,1726,157,1738
158,1746,158,1758
159,1806,159,1818
160,1826,160,1838
161,1846,161,1858
,,,
162,812,162,817
163,832,163,837
164,852,164,857
165,937,165,947
166,1012,166,1017
167,1032,167,1037
168,1052,168,1057
169,1127,169,1137
170,1247,170,1257
171,1312,171,1317
172,1333,172,1337
173,1352,173,1357
174,1437,174,1447
175,1512,175,1517
176,1532,176,1537
177,1552,177,1557
178,1637,178,1647
179,1707,179,1717
180,1727,180,1737
181,1747,181,1757
182,1807,182,1817
183,1827,183,1837
184,1847,184,1857
,,,
185,813,185,816
186,833,186,836
187,853,187,856
188,938,188,946
189,1013,189,1016
190,1033,190,1036
191,1053,191,1056
192,1128,192,1136
193,1248,193,1256
194,1313,194,1316
195,1334,195,1336
196,1353,196,1356
197,1438,197,1446
198,1513,198,1516
199,1533,199,1536
200,1553,200,1556
201,1638,201,1646
202,1708,202,1716
203,1728,203,1736
204,1748,204,1756
205,1808,205,1816
206,1828,206,1836
207,1848,207,1856
,,,
208,814,208,815
209,834,209,835
210,854,210,855
211,939,211,945
212,1014,212,1015
213,1034,213,1035
214,1054,214,1055
215,1129,215,1135
216,1249,216,1255
217,1314,217,1315
218,1335,218,1335
219,1354,219,1355
220,1439,220,1445
221,1514,221,1515
222,1534,222,1535
223,1554,223,1555
224,1639,224,1645
225,1709,225,1715
226,1729,226,1735
227,1749,227,1755
228,1809,228,1815
229,1829,229,1835
230,1849,230,1855
,,,
231,815,231,814
232,835,232,834
233,855,233,854
234,940,234,944
235,1015,235,1014
236,1035,236,1034
237,1055,237,1054
238,1130,238,1134
239,1250,239,1254
240,1315,240,1314
241,1336,241,1334
242,1355,242,1354
243,1440,243,1444
244,1515,244,1514
245,1535,245,1534
246,1555,246,1554
247,1640,247,1644
248,1710,248,1714
249,1730,249,1734
250,1750,250,1754
251,1810,251,1814
252,1830,252,1834
253,1850,253,1854
,,,
254,816,254,813
255,836,255,833
256,856,256,853
257,941,257,943
258,1016,258,1013
259,1036,259,1033
260,1056,260,1053
261,1131,261,1133
262,1251,262,1253
263,1316,263,1313
264,1337,264,1333
265,1356,265,1353
266,1441,266,1443
267,1516,267,1513
268,1536,268,1533
269,1556,269,1553
270,1641,270,1643
271,1711,271,1713
272,1731,272,1733
273,1751,273,1753
274,1811,274,1813
275,1831,275,1833
276,1851,276,1853
